What is the range of [$]\sin^{-1}(x)[/$]	[$]+ \frac{\pi}{2} \rightarrow - \frac{\pi}{2}[/$]
Transformer cores are made of soft iron which is easily {{c1::magnetised and demagnetised}} reducing power wastege through {{c2::repeated magnetisation}}.	
A laminated core consists of {{c2::iron}} sperated by {{c1::layers of insulator}}.	
Laminated cores reduce {{c1::eddy}} currents whilst keeping the {{c2::magnetic flux}} high and the {{c3::heating effect}} low.	
The {{c1::power supplied to}} a transformers primary coil is equal to the power supplied by the {{c2::secondary coil}}.	
[$$]\frac{IsVs}{IpVp} X 100 [/$$] = {{c1::efficiency}}.	
Power = {{c1::Voltage X Current}}	
{{c1::Transformer efficency}} is the power delivered by the second coil devided by the power supplied to the primary coil.	
Transformers only work {{c1::when the flux through them is changning}} so they cannot work on {{c2::DC}}.	
The transformer rule is&nbsp;{{c1::[$]\frac{Vs}{Vp} = \frac{Ns}{Np}[/$]}}	
A Step up transformer has more turns on the {{c1::secondary}} coil and the {{c2::secondary voltage}} is stepped up. The result is that the {{c3::current}} is stepped {{c4::down}}.	
A step down transformer has more turns on it's {{c3::primary coil}} so the {{c1::secondary voltage}} is stepped down and the {{c2::current}} is stepped up.	
Transformers consist of {{c2::2}} coils. A primary &amp; secondary coil. Both coils {{c3::share the same iron core}}. When connected to an alternating pd an {{c4::alternating}} magentic field is producued in the core. And an emf is induced in the {{c1::secondary coil}}.	
Transformers are designed so that all the magentic flux produced by the first coil {{c1::passes through the secondary coil}}.	
The flux linkage in the primary coil of a transformer equals the {{c2::number of turns}} in the coil times the {{c1::flux density}}.	The same is true for the second coil.
The flux linkage in the seconday coil of a transformer equals the {{c2::number of turns}} in the coil times the {{c1::flux density}}.	The same is true for the primary coil.
In a trasnformer an emf is also produced in the {{c1::primary coil}} which {{c2::opposes}} the pd applied to the primary coil.	
In a transformer's primary coil if the {{c1::resistance}} is negligible then all of the applied pd acts {{c2::against}} the emf.	
The emf induced in a transformers secondary coil equals the number of {{c2::turns}} in the coil {{c3::multiplied}} by the flux all over {{c1::time}}.	Equivalent to flux linkage over time.
A solenoid magnet has a field like a {{c1::bar magnet}}.	
In a solenoid the current passes {{c1::colckwise}} around the south pole.	
In a solenoid the current passws anticlockwise around the {{c1::north}} pole.	Draw an N with arrows on it!
Energy is never {{c1::created}} nor {{c2::distroyed}}.	
Lenz law states that the {{c1::direction of an induced current}} is always such that it {{c2::opposes}} the change that caused the current.	
Lenz law is used in {{c1::regenerative}} braking.	
Battery powered vehicles contain alternators that can act as a {{c1::motor or generator}}. When used as an electric motor the motor is driven from the {{c2::battteries}}. However when the {{c3::brakes are applied}} the alternator can be used to generate energy which can recharge the battery.	
Faradays law states that the {{c1::induced emf}} in a circuit is equal to the rate of change of flux {{c2::linkage}} through the circuit.	
Faradays law as an equation is&nbsp;{{c1::-N(change in angle / change in time)}}	
The Product of magnetic flux density and area is equal to {{c1::magenetic flux linkage}}.	
Magnetic flux = B*{{c1::A}} and is measured in {{c2::Webers}} - symbol Wb	
1Wb (Weber) equals 1T (Tesla) per {{c1::metre squared}}.	
The Induced emf is the magnetic flux {{c1::swept out}} by a conductor {{c2::each second}}.	
Magnetic Flux Linkage = {{c1::B*A*N}}	
When the magnetic field is {{c1::perpendicular to the coil face}} the flux linkage = BAN.	
When a coil in a magnetic field is {{c1::turned 180 degrees}} the flux linkage = -BAN.	
When the magnetic field is parallel to the coil area the flux linkage is {{c2::zero}}. This is because no {{c1::field lines}} pass through the coil area.	
For a conductor to move in a magnetic field {{c1::work must be}} done.	
The charge transferred along a conductor in a magnetic field is equal to {{c1::current * time}}.	
Q = I{{c1::t}}	
Work done to move a conductor in a magnetic field = {{c1::Fs}} or {{c2::BILs}}	
When a conductor moves in a field the induced emf = {{c2::W/Q}} = BIILs/It = {{c1::BILs/t}}	
Capacitors can be used for:<div>S{{c1::moothin}}g Circuits</div><div>{{c2::Back}} up power supplies</div><div>T{{c3::imi}}ng Circuits</div><div>{{c4::Pulse}} Producing Circuits</div><div>Tun{{c5::nin}}g Circuits</div><div>F{{c6::ilte}}r Circuits</div>	
The potential difference across a capacitor is measured with a {{c1::high resistance}} volt meter using either a {{c2::datalogger}} or stopwatch.	
Capacitors are devices designed to store {{c1::charge}}.	
Capacitors consist of {{c2::parallel metal}} plates insulated from each other. When one of the plates is connected to the battery it gains {{c1::electrons}} whilst the other loses them.	
The charge stored in a capacitor is equal to {{c1::the current * time}}.	
The charge stored in a capacitor is proportional to the {{c1::potential difference (V)}}.	
For a capacitor the charge stored per volt is {{c1::constant}}.	
Capacitance of a capacitor is the charge stored per unit {{c1::potential difference}}.	
Capacitance is measured in {{c1::Farads}} for which the symbol is F. 1 {{c2::Farad}} is equal to 1 {{c3::Coulomb per Volt}}.	
Farads are {{c1::large}} so {{c2::capacitance}} is often measured in micro, nano or pico farads.	
Capacitance = {{c1::Q/V}}	So V = Q/C and Q = CV
Capacitors store energy in the form of {{c1::electrical potential}} energy.	
Capacitors can produce large {{c1::currents}} but only over a {{c2::short period of time}}.	
Plotting a p.d. Vs Charge graph for a capacitor and finding the area underneath gives the {{c1::work done.}}	
The energy stored by a capacitor is given by the formula {{c1::1/2 QV}}	
A {{c1::joulemeter}} can be used to measure the energy transferred by a capacitor when it discharges.	
Capacitors are charged by connecting them to a source of {{c1::constant potential difference.}}	
When charging a capacitor the charging current {{c1::decreases}} as capacitor charge and pd {{c2::increase}}.	
When a capacitor is fully charged its pd is {{c1::equal to the source pd}}	
The time constant of a charging capacitor is the time for the charge to reach {{c1::63%}} of the final charge.	
Cacpacitor charging current decreases {{c1::exponentially}} to 0.	
Current is equal to {{c1::rate of change}} of charge.&nbsp;	
Capacitor current is given by the gradient of {{c1::the charge-time graph.}}	
At any instant during charging a capacitor the source pd = {{c1::resistor pd + capactor pd.}}	V(0) = IR + Q/C
For an uncharged capacitor the initial charging current is {{c1::V/R}}	
After t seconds of charging a capacitor the charging current is {{c1::Initial current}} * {{c2::e*-t/RC}}	
The charge on capacitor plates {{c1::never becomes}} zero.	
Capacitor discharge is often measured with an osciloscope as it has a {{c1::very high}} resistance.	
Capacitor discharge is measured with high resistance equipment to ensure that the {{c1::current passes through the fixed resistor.}}	
Capacitors discharge in an {{c1::exponential}} fashion.	
Exponential changes occur whenever the rate of change of a quantity is proportional to {{c1::the quantity itself}}.	
The charge of a capacitor after t seconds is given by Initial Charge * {{c1::e ^-t/RC}}	
RC is the {{c1::time constant}} for a capacitor circuit.	R = Resitance, C = Capacitance, Unit =&gt; Seconds
The time constance of a (discharging) capacitor is the time taken for the capacitor {{c1::to discharge to 37% of its original value.}}	
{{c1::5}}RC is the time for the capacitor to discharge to over 99%	
When {{c1::t = RC}} capacitor charge falls to 0.37 (e^-1) of starting value.	
Capacitors are always discharged through a {{c3::fixed resistor}} until the current reaches 0. This is because {{c2::current}} decreases with pd and so does {{c1::resistance}}.	
The discharge current of a capacitor is proportional to {{c1::charge}} which is proportional to {{c2::pd}}.	
Air is usually an {{c1::insulator}}.	
Large electric fields ionise air molecules by {{c1::pulling electrons out of the molecules}}.	
A lightning strike occurs when a cloud becomes more and more charged, creating a {{c1::large}} electric field between it and the ground eventually the air becomes {{c2::ionised}} enough that it no longer {{c3::insulates}} the cloud and the electricity is discharged.	
Lightning rods reduce the {{c1::risk of a lightning strike}}.	
Lightning rods are connected to {{c2::ground}}, when a charged cloud is overhead a field is created and the air around the rod ionised discharging {{c1::the cloud}}.	
If a metal conductor is insulated from the ground the charge will {{c1::build}} up and {{c2::spread}} across its surface.	
Coulombs Law states that the force between two point charges = {{c1::k(Q1*Q2)/r^2}} where r is distance.	and K is a constant 1/4pi*Epsilon Nought
Colombs law shows that force is proportional to {{c1::1/r^2}}	
Charged objects exert {{c1::equal and opposite}} forces on each other.	
Electric {{c1::fields surround}} each charge.	
Electric fied lines are the lines which a {{c1::positive test}} charge would follow.	
A point object creates field lines {{c1::concentrated at an object}}.	
A field is strongest when the field lines are {{c1::closest together.}}	
Oppositly charged parallel plates create a {{c1::uniform field}} between them	
The field between two parallel plates is from {{c1::positive to negative.}}	
Magnetic field goes from {{c1::north to south.}}	
Electric Field strength in a uniform field = {{c1::Voltage / Distance}}	
A greater {{c1::electric charge}} creates a greater electric field.	
For oppositly electrically charged parallel plates the strength of the field depends on {{c1::the concentration of charge}}.	
Field strength is {{c2::proportional}} to charge per {{c1::unit area}}	
Epsilon nought is the {{c1::constant of proportionality.}}	
Epsilon nought represents the charge per unit area on a surface in a {{c2::vacuum}} that produces a field strength of {{c1::1 Volt per metre.}}	
Point charges refer to objects in a situation where the {{c2::distance between}} the objects are {{c1::larger}} than the objects size.	Note: larger == far far far greater!
Force lines around a point charge are {{c1::radial.}}	
Equipotentials are {{c1::concentric circles}} around a point charge or mass.	
If there are multiple point charges then {{c1::each charge exerts a force on the test charge}}	
The resultant force per unit charge on a test charge is the {{c1::field strength}} at the position of the {{c2::test charge.}}	
If the forces on a point charge are in the same direction then the resultant force is the {{c1::sum of the two forces.}}	
Resultant electric field strength is a vector sum of the {{c1::individual electric field}} strengths.	
Charged objects {{c1::feel a force}} in an electric field.	
Electric field strength is equal to the force per unit charge on a {{c1::positive}} test mass placed {{c2::at that point}}.	
Electric field strength is measured in {{c1::newtons per coulomb.}}	Or Volts per Metre
Electric field strength is equal to the {{c2::negative}} of the potential {{c1::gradient}}	
A Gold leaf electroscope can be used to {{c1::detect charge.}} This is indicated by the gold leaf {{c2::rising}} when charge is present.	
Like charges {{c1::repel}}	
Unlike charges {{c1::attract}}	
Static electric charges are caused {{c1::by electrons}}	
Insulating materials have {{c1::no free}} electons. That is all the electrons are {{c2::attached to atoms}}.&nbsp;	
Some Insulators such as:<div>perspex</div><div>polythene</div><div>can gain or lose charge from their {{c1::surface atoms}}.</div>	
The shuttling ball experiment shows that {{c1::current is a flow of charge}}.	
When the shuttling ball touches the negative plate it {{c1::gains electrons.}} So it has a {{c2::negative charge.}} It is then repelled to the positive plate where it {{c3::loses electrons}} to end up with a {{c4::positive charge.}}	
The point where a test mass or charge's potential energy is 0 is {{c1::infinity}}	
Electric potential is {{c1::"The work done per unit positive charge on a 'positve test charge' when it is moved from infinity to that point"}}	
Electric potential is measured in {{c1::Volts.}}	
One Volt is equivalent to {{c1::1 Joule per coulomb}}	
A potential gradient is the change of {{c1::potential}} per unit change of {{c2::distance}} in a given direction.	
Equipotentials are lines of {{c1::constant potential}}	
A test charge moving along an equipotential has constant {{c1::potential energy}}.	
Equipotentials always meet field lines at {{c1::right angles.}}	
Travelling on an equipotential no {{c1::work is done}} on the test charge.	
A {{c2::Uniform}} potential gradient is constant and increases in the {{c1::opposite direction}} to the electric field. It is also equal to {{c3::V/d.}}	
A {{c1::non-uniform}} potential gradient varies according to position and direction.&nbsp;	
Close equipotentials mean a {{c1::greater}} potential gradient	
Gravitational Potential is measured in {{c1::Joules per Kg}}	
At the surface of a planet {{c1::gravitational potential energy}} is -ve	
Gravitational energy is 0 at {{c1::infinity}}	
Gravitational potential energy is the energy of an object due to it's {{c1::position in a}} gravitational field.	
Gravitational Potential is the work done moving a mass from {{c1::infinity}} to t{{c2::hat point in the field.}}	
Potential gradient a a point in a gravitational field is the {{c1::change in potential}} per {{c2::metre}} at that point.	
Over small distances the potential gradient is equal to the change {{c2::in potential}} / change {{c1::in distance}}	
Gravitational field strength is the {{c2::negative}} of {{c1::Gravitational potential}} gradient.	
For a point mass in a planetary field the magnitude of the gravitational force is {{c1::GM/r^2}}	
For a spherical mass the magnitude of the gravitational force in a planetary field is {{c1::GMm/r^2}}	
Plotting a graph of strength Vs distance in a planetary field and {{c1::finding the area under the graph}} gives the work done.	
At the surface of a planet g = {{c1::g(surface)R(adius)^2/distance^2}}	
Gravitational {{c1::attraction}} occurs between two objects with {{c2::mass}}.	
Mass creates a {{c1::gravitational field}} around an object.	
The weight of an object is equal to the force of {{c1::gravity}} on that object	
For an object in freefall acceleration is {{c1::g}} with units {{c2::ms^2}}	
A radial gravitational field is shaped like a {{c1::wheel}} with the force lines converging at the {{c2::centre}} of the object. The force acts {{c3::towards the centre}} of the larger mass. But the force gets less with {{c4::increased distance.}}	
A Uniform gravitational field has the same {{c1::magnitude}} and {{c2::direction}} throughout the field.	
In a uniform field the field lines are {{c1::parallel}} and {{c2::equally}} spaced.	
Any mass orbiting another is a {{c1::satelite}}	
Geostationary satelites orbit j{{c1::ust above the earth}} and have a time period of {{c2::24h}}. This gives them a {{c3::fixed}} position as the time period is the {{c4::same}} as the earth's rotation.	
The radius of orbit of a satelite (cubed) = {{c1::GMT^2 / 4pi^2}}	
The speed of a satelite = {{c1::sqrt(Gm/r)}}	
Newtons law of graviation states that gravity is always a{{c1::ttractiv}}e.	
The force of gravity is inversly proportional to the {{c1::square of the distance}}.	at 2d =&gt; f/4<div>at 3d =&gt; f/9</div><div>at 4d =&gt; f/16</div>
Gravity is proportional to the {{c1::mass of each object.}}	
Newtons law as a formula is {{c1::Gmm/r^2}}	G is universal constant of gravitation measured in newtons per metre^2 per killogram^2
A magnetic field is a force field surrounding a {{c1::magnet}} or {{c2::current carrying wire}}.	
The magnetic field of a bar magnet is strongest at its {{c1::ends.}}	
A line of force/magnetic field line is the line along which {{c1::a free north pole}} would move in the field.	
Earth is most like {{c1::a giant bar}} magnet.	
Earths magnetic field is caused by {{c1::circulation currents in molten iron}} of earths core.	
Compass {{c1::magnetic north}} is in Northern Canada, but {{c2::moves around}}.	
The strength of a magnetic field is its {{c1::magnetic flux density}}. (Symbol B)	
The unit of magnetic flux density is {{c1::the tesla (T)}}	
1 Tesla = 1 {{c1::Newton}} per {{c2::metre}} per {{c3::amp}}	
At 90 degress the the magnetic field the force = {{c1::BIL}}	
For a coil in a magnetic field it is the {{c1::long side of each coil}} that experiences the force BIL.	
The force on a coil in a magnetic field is multiplied by t{{c1::he number of turns}} in the coil.	
The forces acting on a coil in a magnetic field are a {{c1::couple}}.	
Forces on a coil in a magnetic field {{c1::do not act}} along the same line.	
A simple electric motor consists of an {{c2::Insulated wire}} spinning in a {{c1::U shaped}} magnet.	
When a DC current passes through coil in electric motor the wires at the {{c2::opposite}} edges of the coil are acted on by a force in {{c1::opposite}} directions.	
Current is supplied to a motor by a {{c3::split ring commutator}}. This causes the direction of the current around the coil to be {{c2::reversed}} every {{c1::1/2}} turn.	
The torque of the couple acting on coil in motor is {{c1::Fd}}.	
When a motor coil is {{c2::parallel}} to force lines angle is 0 and Torque is cos(0) which is {{c1::1}}	
In Torque = Fd d is {{c1::the perpendicular distance}} between the {{c2::line of action}} of the forces on each side.	
A current carrying wire in a magnetic field experiences a force if i{{c1::t is at a non-zero angle to the lines of force.}}	
The {{c1::force on a current carrying wire}} in {{c2::a magnetic field}} is known as the motor effect.	
The force on a (current carrying) wire in a magnetic field&nbsp;depends on the {{c1::length of the wire}}, the {{c2::strength of the field}} and the {{c3::current.}}	
The force on a wire in a magnetic field is perpendicular {{c1::to the wire}} and {{c2::to the lines of force.}}	
Since the force on a current carrying wire in a magnetic field depends on angle between current direction and force lines the force is {{c1::greatest}} when the wire is at right angles to the field and 0 when it is {{c2::parallel.}} The direction of the force can be found from flemings {{c3::left}} hand rule.	
A mass spectrometer is used to {{c1::analyse the type of atoms}} in a sample.	
In a mass spectrometer Atoms are {{c1::ionised}} then directed into a narrow beam at the {{c2::same velocity}}.	
Cyclotrons are used in hospitals to produce {{c1::high energy}} beams for {{c2::radiation}} therapy.	
{{c1::Thermionic}} devices are electron guns which produce elctron beams	
A beam of {{c1::charged particles}} is the same as a electric {{c2::current}}.	
Anaerobic respiration occurs in {{c1::absence of oxygen.}}	
When no oxygen is present only {{c1::glycolysis}} can take place. (respiration)	
Krebs and link can not take place in anerobic respiration becase NAD and FAD {{c1::cannot be oxidised again.}}	
{{c1::2}}ATP molecules are produced by {{c2::glycolysis}}.	
{{c1::2}}ATP molecules are produced by {{c2::the krebs cycle}} as a result of producing {{c3::3}}NADH and {{c4::1}}FADH2 molecules.	
The electron transport chain prodcues {{c1::32}}ATP molecules.	
The {{c3::link reaction}} produces {{c1::no}} ATP but 1{{c2::NADH}}	
In the {{c3::electron transport chain}} {{c1::1}}NADH={{c2::3}}ATP	
In the {{c3::elctron transport chain}} {{c1::1}}FADH2 = {{c2::2}}ATP	
{{c3::Glyclysis}} produces net {{c1::2}}ATP from {{c2::4}}ATP	
Total ATP from Respiration is {{c1::38}} per glucose	
{{c1::Chemical energy}} is contained within food substances.	
{{c1::Energy}} can be converted from one form to another.	
Green plants can convert {{c1::light}} into {{c2::chemcial}} energy.	
{{c1::All}} living organisms are able to convert {{c2::chemical}} energy to other energy forms.	
<img src="http://upload.wikimedia.org/wikipedia/commons/1/10/ATP_chemical_structure.png" />	ATP
<div>{{c1::Energy}} is required to combine {{c2::ADP and phosphate}} to form ATP and this is an {{c3::endergonic}}&nbsp;reaction</div>	
<div>{{c1::30.6 KJ of Energy}} is released when ATP is broken down to {{c2::ADP and phosphate}} and this is an</div><div>{{c3::exergonic}} reaction.</div>	
<div>Energy release from ATP is linked to energy-requiring reactions e.g. {{c1::active transport}},&nbsp;{{c2::</div><div>muscle&nbsp;</div><div>contraction</div><div>}}, {{c3::synthesis of organic chemicals}}</div>	
{{c2::ATP}} is an energy {{c1::carrier}} in cells.	
ATP is sometimes referred to as the {{c1::'Universal Energy Currency'}}	
{{c1::ATP}} is said to be {{c2::'universal'}} because nearly all {{c3::metabolic reactions}} use it as the {{c4::energy source}}	
Define Proton	A stable subatomic particle occurring in all atomic nuclei, with a positive electric charge equal in magnitude to that of an electron
Define electron	A stable subatomic particle with a charge of negative electricity, found in all atoms and acting as the primary carrier of electricity
{{c4::A concentration gradient}} is produced across the {{c1::internal}} membranes of {{c2::mitochondria}} and {{c3::chloroplasts}}.	
<div>In mitochondria the {{c1::internal membrane}} separates the {{c2::intermembrane space}} from the&nbsp;{{c3::matrix}}.</div>	
<div>In {{c1::chloroplasts}} the thylakoid membrane separates the t{{c2::hylakoid component}}&nbsp;from the {{c3::stroma}}</div>	
The {{c2::synthesis of ATP}} takes place by means of a {{c3::flow of protons}} across the mitochondrial {{c1::internal}} membrane.	
The {{c2::synthesis of ATP}} takes place by means of a {{c3::flow of protons}} across the {{c4::thylakoid membrane}} in plants.	
ATP moves down a {{c1::concentration}} gradient through the enzyme {{c2::ATP synthetase.}}	
The {{c2::process that produces ATP}} is c{{c1::hemiosmosi}}s	
<div>To maintain the {{c1::concentration of protons}} in the {{c2::inter membrane space}}, {{c3::proton pumps}} are&nbsp;needed which are fuelled by {{c4::electron energy}}.</div>	
Draw chemiosmosis &amp; ATP synthesis. (In animals)	<img src="http://fhs-bio-wiki.pbworks.com/f/1259628320/electron_transport_chain.jpg" />
Draw chemiosmosis &amp; ATP synthesis. (In plants)	<img src="http://chemwiki.ucdavis.edu/@api/deki/files/7285/=Thylakoid_membrane.png" />
<div>{{c1::Respiration}} is a series of {{c2::enzyme-catalysed}} reactions which release {{c3::chemical}} energy from {{c4::organic molecules}} in order to {{c5::synthesise ATP.}}</div>	
<div>The four main stages of the breakdown of a {{c1::glucose molecule}} to {{c2::carbon dioxide and water}} are:&nbsp;</div><div>{{c3::glycolysis;}}</div><div>{{c4::link reaction;}}</div><div>{{c5::Krebs cycle;}}</div><div>{{c6::electron transport chain.}}</div>	
{{c1::Glycolysis}} is the {{c2::phosphorylation}} of glucose.	
Glycolysis involves&nbsp;the phosphorylation of glucose into {{c1::6C hexose phosphate}} which is then split into two {{c2::3C triose phosphate}} molecules and the {{c3::oxidation}} of each of these to {{c4::3C}}&nbsp;{{c5::pyruvate}} with a {{c6::small}} yield of {{c7::ATP and reduced NAD}}	
{{c1::Glycolysis}} takes place in the {{c2::cytoplasm}} and does not require {{c3::oxygen}}.	
The {{c1::link reaction}} involves the conversion of {{c2::pyruvate}} to {{c3::acetate}}.	
Pyruvate is converted to {{c1::acetate}} through:<div>{{c2::the loss of carbon dioxide;}}<div>{{c3::the removal of hydrogen through the reduction of NAD;}}</div><div>{{c4::acetyl group combining with coA;}}</div></div>	
The {{c1::link reaction}} takes place in the {{c2::matrix of the mitochondrion.}}	
{{c1::Acetyl CoA}} enters {{c2::the Krebs Cycle.&nbsp;}}	
<div>{{c1::co-enzyme A}} is regenerated and the&nbsp;</div><div>{{c2::acetate fragment}} is picked up by a {{c3::4}}C acid, to produce a {{c4::6}}C acid.</div>	
The Krebs cycle is a series of {{c1::decarboxylations}} and {{c2::dehydrogenations.}}	
{{c1::Dehydrogenation}} is the {{c2::removal of hydrogen.}}	
{{c1::Decarboxylation}} is the {{c2::removal of carbon dioxide, a carboxyl group.}}	
In the {{c1::Krebs Cycle}} the {{c2::acetate}} fragment from {{c3::glucose}} is completely broken down.	
<div>The function of the {{c1::Krebs cycle}} is a means of {{c2::liberating energy}} from {{c3::carbon bonds}} to</div><div>{{c4::provide ATP}} and reduced {{c5::NAD and FAD}}.</div>	
The {{c1::Krebs cycle}} releases {{c2::carbon dioxide.}}	
{{c1::Reduced NAD and FAD}} deliver {{c2::hydrogen}} to the e{{c3::lectron transport chain.}}	
The {{c1::electron transport system}} is located in the {{c2::inner mitochondrial membrane.}}	
